# x_m,y_m,w_tr_right_m,w_tr_left_m
6.78,5.14,0.65,0.6
6.787,5.2085,0.6635,0.6135
6.7984,5.2764,0.677,0.627
6.815,5.3435,0.6905,0.6405
6.8372,5.4093,0.7085,0.6625
6.8653,5.4732,0.7372,0.7047
6.8992,5.5342,0.7659,0.7469
6.9384,5.5911,0.7945,0.789
6.9828,5.6429,0.8452,0.8452
7.0317,5.6891,0.911,0.911
7.0844,5.7315,0.9769,0.9769
7.1395,5.7723,1.0427,1.0427
7.1962,5.814,1.086,1.062
7.2532,5.8586,1.1265,1.0755
7.3104,5.9048,1.167,1.089
7.3685,5.9465,1.1925,1.1025
7.4284,5.9772,1.152,1.116
7.4909,5.9908,1.1115,1.1295
7.5564,5.985,1.071,1.143
7.6242,5.9677,1.0695,1.15
7.6931,5.9481,1.11,1.15
7.7622,5.9354,1.1505,1.15
7.8312,5.9325,1.191,1.15
7.8999,5.9353,1.1895,1.1395
7.9686,5.9395,1.176,1.126
8.0373,5.9413,1.1625,1.1125
8.106,5.941,1.1498,1.1
8.1749,5.94,1.1472,1.1
8.2439,5.9402,1.1445,1.1
8.3131,5.942,1.1418,1.1
8.3821,5.9434,1.1413,1.105
8.4507,5.942,1.1442,1.1185
8.5185,5.9357,1.1472,1.132
8.5857,5.9243,1.1501,1.1455
8.6529,5.9093,1.1645,1.177
8.7207,5.8924,1.1847,1.2175
8.7894,5.8746,1.2049,1.258
8.8569,5.8541,1.225,1.2985
8.9205,5.8276,1.1801,1.222
8.9775,5.792,1.1326,1.141
9.0255,5.7451,1.0852,1.06
9.0651,5.6887,1.0465,0.9965
9.0974,5.6257,1.033,0.983
9.1235,5.5592,1.0195,0.9695
9.1446,5.4918,1.006,0.956
9.1611,5.4245,1.0,0.95
9.1729,5.3571,1.0,0.95
9.1801,5.2892,1.0,0.95
9.1828,5.2208,1.0,0.95
9.1826,5.152,1.0,0.95
9.181,5.0829,1.0,0.95
9.1796,5.0139,1.0,0.95
9.1792,4.945,1.002,0.95
9.1794,4.8762,1.0155,0.95
9.1799,4.8075,1.029,0.95
9.1802,4.7387,1.0425,0.95
9.1802,4.6699,1.038,0.95
9.1801,4.601,1.011,0.95
9.18,4.5322,0.984,0.95
9.1799,4.4634,0.957,0.95
9.18,4.3945,0.93,0.94
9.18,4.3257,0.903,0.9265
9.18,4.2569,0.876,0.913
9.18,4.1881,0.85,0.9
9.18,4.1193,0.85,0.9
9.18,4.0504,0.85,0.9
9.18,3.9816,0.85,0.9
9.18,3.9128,0.85,0.9
9.18,3.844,0.85,0.9
9.18,3.7752,0.85,0.9
9.1799,3.7063,0.85,0.9
9.1799,3.6375,0.867,0.9
9.18,3.5687,0.894,0.9
9.1801,3.4999,0.921,0.9
9.1803,3.431,0.948,0.9
9.1803,3.3622,0.946,0.9
9.18,3.2934,0.9417,0.9
9.1794,3.2246,0.9374,0.9
9.1789,3.1559,0.932,0.897
9.1791,3.087,0.9228,0.8835
9.1807,3.018,0.9136,0.87
9.1832,2.9489,0.9044,0.8565
9.1844,2.88,0.907,0.871
9.1819,2.8114,0.9205,0.9115
9.1736,2.7435,0.934,0.952
9.1604,2.6762,0.9475,0.9925
9.145,2.6089,0.961,1.011
9.1303,2.5413,0.9745,1.0245
9.118,2.4732,0.988,1.038
9.1064,2.4051,1.0075,1.0545
9.0928,2.3378,1.075,1.095
9.0742,2.272,1.1425,1.1355
9.0501,2.2079,1.21,1.176
9.0229,2.1446,1.25,1.189
8.9958,2.081,1.25,1.162
8.9718,2.0162,1.25,1.135
8.9528,1.9497,1.25,1.108
8.9393,1.882,1.231,1.1285
8.9314,1.8134,1.204,1.169
8.9291,1.7445,1.177,1.2095
8.9305,1.6755,1.15,1.25
8.9319,1.6066,1.1905,1.223
8.9299,1.5382,1.231,1.196
8.9218,1.4702,1.2715,1.169
8.9086,1.4026,1.3,1.162
8.8921,1.3354,1.3,1.2025
8.8742,1.2684,1.3,1.243
8.8567,1.2014,1.3,1.2835
8.842,1.1341,1.284,1.276
8.832,1.0662,1.257,1.2355
8.8289,0.9974,1.23,1.195
8.8307,0.9281,1.203,1.1545
8.8326,0.8591,1.248,1.21
8.8301,0.791,1.302,1.2775
8.8198,0.7243,1.356,1.345
8.8046,0.6579,1.39,1.39
8.789,0.5902,1.336,1.336
8.7774,0.5199,1.282,1.282
8.7704,0.4475,1.228,1.228
8.7612,0.3772,1.1843,1.1805
8.7426,0.3137,1.1517,1.14
8.7075,0.2614,1.1192,1.0995
8.6558,0.2202,1.0866,1.059
8.5931,0.187,1.0627,1.05
8.5251,0.1582,1.0413,1.05
8.4573,0.1305,1.0198,1.05
8.3926,0.1023,0.999,1.047
8.3296,0.0754,0.9855,1.0065
8.2667,0.0516,0.972,0.966
8.2021,0.0326,0.9585,0.9255
8.1353,0.0183,0.9406,0.895
8.0672,0.0063,0.9152,0.8815
7.9988,-0.0061,0.8898,0.868
7.931,-0.0212,0.8643,0.8545
7.8638,-0.0374,0.8559,0.85
7.7965,-0.0515,0.8559,0.85
7.7287,-0.0601,0.8559,0.85
7.6601,-0.0612,0.8559,0.85
7.591,-0.0586,0.8803,0.85
7.522,-0.0576,0.9058,0.85
7.4537,-0.0632,0.9312,0.85
7.3862,-0.0764,0.9465,0.8465
7.319,-0.0925,0.933,0.833
